Expression	Prom	Kozak	Term
3.245775653	1	1	1
3.896775841	2	1	1
2.862565844	3	1	1
3.038944705	4	1	1
3.506812478	5	1	1
2.938915345	6	1	1
2.896301549	7	1	1
2.948096031	8	1	1
3.173722703	1	2	1
3.557258467	2	2	1
2.956040676	3	2	1
2.993687995	4	2	1
3.200160586	5	2	1
2.88961855	6	2	1
2.884385093	7	2	1
2.991549477	8	2	1
3.544350503	1	3	1
4.192202865	2	3	1
3.00371291	3	3	1
3.062773099	4	3	1
3.886603096	5	3	1
2.893268231	6	3	1
2.961253405	7	3	1
3.009034198	8	3	1
3.500121031	1	4	1
4.202693354	2	4	1
2.928614144	3	4	1
3.055799259	4	4	1
3.833962503	5	4	1
3.04515599	6	4	1
3.054594453	7	4	1
3.242774925	8	4	1
2.993426502	1	5	1
3.313326525	2	5	1
2.877853915	3	5	1
2.88065019	4	5	1
3.047980219	5	5	1
2.867738476	6	5	1
2.848188509	7	5	1
2.957196464	8	5	1
3.443510399	1	6	1
4.117662926	2	6	1
2.973175286	3	6	1
3.003585876	4	6	1
3.821598417	5	6	1
2.987301626	6	6	1
3.106541004	7	6	1
3.126485518	8	6	1
3.100152904	1	1	2
3.829835271	2	1	2
2.907413915	3	1	2
2.918221297	4	1	2
3.314541056	5	1	2
2.863980636	6	1	2
2.918704193	7	1	2
2.999062398	8	1	2
3.121103666	1	2	2
3.537197079	2	2	2
2.913506276	3	2	2
2.901998213	4	2	2
3.134596271	5	2	2
2.885885656	6	2	2
2.877625958	7	2	2
2.946121124	8	2	2
3.505723235	1	3	2
4.075744257	2	3	2
2.837880368	3	3	2
3.001032704	4	3	2
3.632086917	5	3	2
2.894222773	6	3	2
2.921139403	7	3	2
3.015672189	8	3	2
3.362390319	1	4	2
4.106312509	2	4	2
2.981249186	3	4	2
2.969236055	4	4	2
3.604049483	5	4	2
3.037606986	6	4	2
2.984720352	7	4	2
3.269870174	8	4	2
3.116981968	1	5	2
3.273516125	2	5	2
2.898057061	3	5	2
2.874367081	4	5	2
3.008906587	5	5	2
2.853783351	6	5	2
2.90317957	7	5	2
2.881066212	8	5	2
3.323075592	1	6	2
4.003253223	2	6	2
2.938943981	3	6	2
3.038211248	4	6	2
3.674202506	5	6	2
2.909979026	6	6	2
3.107565094	7	6	2
3.127759242	8	6	2
3.098583903	1	1	3
3.486487005	2	1	3
2.933565265	3	1	3
2.911415379	4	1	3
3.112167619	5	1	3
2.838785719	6	1	3
2.875911662	7	1	3
2.883220644	8	1	3
2.894090482	1	2	3
3.273356171	2	2	3
2.914292751	3	2	3
2.918781976	4	2	3
3.049351147	5	2	3
2.868071104	6	2	3
2.889452085	7	2	3
3.028587608	8	2	3
3.217069435	1	3	3
3.713265991	2	3	3
2.893640804	3	3	3
2.929745524	4	3	3
3.411790851	5	3	3
2.954817216	6	3	3
2.865864821	7	3	3
2.892306452	8	3	3
3.058843289	1	4	3
3.755107645	2	4	3
2.909350576	3	4	3
2.956940555	4	4	3
3.523151521	5	4	3
2.870915431	6	4	3
3.047625697	7	4	3
2.928210727	8	4	3
2.940701731	1	5	3
3.073361441	2	5	3
2.889226803	3	5	3
2.896828279	4	5	3
2.989831744	5	5	3
2.905350781	6	5	3
2.906040379	7	5	3
2.880165481	8	5	3
3.070659896	1	6	3
3.687880507	2	6	3
2.89320797	3	6	3
3.000406376	4	6	3
3.498621085	5	6	3
2.93625288	6	6	3
2.991512635	7	6	3
2.920248798	8	6	3
3.462288287	1	1	4
4.035768712	2	1	4
2.87268957	3	1	4
3.006384216	4	1	4
3.538801272	5	1	4
2.895649815	6	1	4
2.888850266	7	1	4
3.069964146	8	1	4
3.292604115	1	2	4
3.718169497	2	2	4
2.888786497	3	2	4
2.878852638	4	2	4
3.338356679	5	2	4
2.9064136	6	2	4
2.924227046	7	2	4
2.955048484	8	2	4
3.746198032	1	3	4
4.259161946	2	3	4
2.943466742	3	3	4
3.150722224	4	3	4
3.918030832	5	3	4
2.99719105	6	3	4
2.967965296	7	3	4
2.959851067	8	3	4
3.656528082	1	4	4
4.231575892	2	4	4
2.946901949	3	4	4
3.082315996	4	4	4
3.932663252	5	4	4
3.038139545	6	4	4
3.040020203	7	4	4
2.886546366	8	4	4
3.024715436	1	5	4
3.394771601	2	5	4
2.88133802	3	5	4
2.873001523	4	5	4
3.025109122	5	5	4
2.873158207	6	5	4
2.90757334	7	5	4
2.810170385	8	5	4
3.560651019	1	6	4
4.150595148	2	6	4
3.008942314	3	6	4
3.058701896	4	6	4
3.817674596	5	6	4
2.828732925	6	6	4
3.094734452	7	6	4
3.206245538	8	6	4
3.466399666	1	1	5
4.015736909	2	1	5
2.869394991	3	1	5
3.004154167	4	1	5
3.570632059	5	1	5
2.833031649	6	1	5
2.919436201	7	1	5
3.05920047	8	1	5
3.32091472	1	2	5
3.710435221	2	2	5
2.933210753	3	2	5
2.955159151	4	2	5
3.351852319	5	2	5
2.876415631	6	2	5
2.966778394	7	2	5
2.943987313	8	2	5
3.808790278	1	3	5
4.250245256	2	3	5
2.926463524	3	3	5
3.132286224	4	3	5
3.944297295	5	3	5
3.037117195	6	3	5
3.06159295	7	3	5
3.119164422	8	3	5
3.715301997	1	4	5
4.218788551	2	4	5
2.926954495	3	4	5
3.046388871	4	4	5
3.882940995	5	4	5
2.933791202	6	4	5
3.089246965	7	4	5
3.159359831	8	4	5
2.955558904	1	5	5
3.36633861	2	5	5
2.867361586	3	5	5
2.980681722	4	5	5
3.067529639	5	5	5
2.858402615	6	5	5
2.939611549	7	5	5
3.076206333	8	5	5
3.648431865	1	6	5
4.16335242	2	6	5
2.988470806	3	6	5
3.031174232	4	6	5
3.895478528	5	6	5
3.027759357	6	6	5
3.216956957	7	6	5
3.093422588	8	6	5
3.533915712	1	1	6
4.015133272	2	1	6
2.875485864	3	1	6
3.010481525	4	1	6
3.520758716	5	1	6
3.032277893	6	1	6
2.974292157	7	1	6
3.014192625	8	1	6
3.277519963	1	2	6
3.635200643	2	2	6
2.955612112	3	2	6
2.975810827	4	2	6
3.339329193	5	2	6
2.935041407	6	2	6
2.874513684	7	2	6
2.976396076	8	2	6
3.824558614	1	3	6
4.227726377	2	3	6
3.057949374	3	3	6
3.193859963	4	3	6
3.932560618	5	3	6
2.982185302	6	3	6
3.051670613	7	3	6
3.046793947	8	3	6
3.741657065	1	4	6
4.219874312	2	4	6
2.899934141	3	4	6
3.073955424	4	4	6
3.980261713	5	4	6
3.025781948	6	4	6
3.048519293	7	4	6
3.108115592	8	4	6
3.01179836	1	5	6
3.389363069	2	5	6
2.8643295	3	5	6
2.870708733	4	5	6
3.05028448	5	5	6
2.948853935	6	5	6
2.925967711	7	5	6
2.865713979	8	5	6
3.641729715	1	6	6
4.167898843	2	6	6
2.916489147	3	6	6
3.052531474	4	6	6
3.903920115	5	6	6
2.943859472	6	6	6
3.285257578	7	6	6
3.217439288	8	6	6
3.296193132	1	1	7
3.992871298	2	1	7
2.975802682	3	1	7
2.885737263	4	1	7
3.423900725	5	1	7
2.876629832	6	1	7
2.953014691	7	1	7
3.004669669	8	1	7
3.284501029	1	2	7
3.626416947	2	2	7
2.942406796	3	2	7
2.983200325	4	2	7
3.224354147	5	2	7
2.8825565	6	2	7
2.901765795	7	2	7
2.877391396	8	2	7
3.585236144	1	3	7
4.215263452	2	3	7
2.844371683	3	3	7
3.053620015	4	3	7
3.798990001	5	3	7
2.99182863	6	3	7
3.041159487	7	3	7
3.047487008	8	3	7
3.54801635	1	4	7
4.203568706	2	4	7
2.859865119	3	4	7
3.054348897	4	4	7
3.785043847	5	4	7
3.024011415	6	4	7
3.044662911	7	4	7
3.066844163	8	4	7
2.957566886	1	5	7
3.350209885	2	5	7
2.878470419	3	5	7
2.846471483	4	5	7
2.994072308	5	5	7
2.861360592	6	5	7
2.871007556	7	5	7
3.031690645	8	5	7
3.401383019	1	6	7
4.109520878	2	6	7
2.898497699	3	6	7
3.019409755	4	6	7
3.763712422	5	6	7
3.002603722	6	6	7
3.063254042	7	6	7
3.07511994	8	6	7
3.307510455	1	1	8
3.945394076	2	1	8
2.904741047	3	1	8
2.942027538	4	1	8
3.42990812	5	1	8
2.963626451	6	1	8
2.964284964	7	1	8
3.060405513	8	1	8
3.102751056	1	2	8
3.581999685	2	2	8
2.869923498	3	2	8
2.912877328	4	2	8
3.214963025	5	2	8
2.866746858	6	2	8
2.895052441	7	2	8
2.971430268	8	2	8
3.626655598	1	3	8
4.173670925	2	3	8
2.973541341	3	3	8
3.006368413	4	3	8
3.78235073	5	3	8
2.90596503	6	3	8
2.958022598	7	3	8
3.063043316	8	3	8
3.505958942	1	4	8
4.186611429	2	4	8
2.9226173	3	4	8
3.011625207	4	4	8
3.774987633	5	4	8
2.933864346	6	4	8
3.051632895	7	4	8
2.990629627	8	4	8
3.013011616	1	5	8
3.312274219	2	5	8
2.852494153	3	5	8
2.934512128	4	5	8
3.025495331	5	5	8
2.855413315	6	5	8
2.950928499	7	5	8
2.811298117	8	5	8
3.365685599	1	6	8
4.013644329	2	6	8
2.93452025	3	6	8
3.029971438	4	6	8
3.733443813	5	6	8
2.918325218	6	6	8
3.03984933	7	6	8
2.938939614	8	6	8
